(54, -6)
(55, 4)
(-35, 69)
(-42, 69)
(-42, 70)
(-45, 70)
(-41, 70)
(-37, 69)
(-38, 73)
(-37, 78)
(-37, 79)
(-37, 80)
(-33, 82)
(-32, 78)
(-31, 73)
(54, -8)
(-30, 71)
(55, -5)
(-34, 70)
(-37, 70)
(56, -6)
(-34, 69)
(-30, 69)
(60, -9)
(59, -9)
(-22, 76)
(-20, 76)
(58, -13)
(59, -14)
(56, -13)
(55, -14)
(-18, 78)
(54, -14)
(-23, 78)
(-23, 80)
(-21, 83)
(-20, 83)
(-22, 85)
(-21, 80)
(-16, 80)
(-15, 79)
(-11, 78)
(-9, 77)
(-7, 77)
(-10, 73)
(51, -38)
(-13, 71)
(49, -38)
(-6, 67)
(-7, 66)
(-5, 61)
(47, -37)
(-5, 60)
(-1, 57)
(-4, 57)
(-1, 58)
(-1, 59)
(52, -45)
(4, 60)
(5, 57)
(7, 58)
(4, 59)
(51, -42)
(55, -43)
(56, -42)
(55, -41)
(-2, 61)
(55, -40)
(1, 63)
(0, 63)
(0, 67)
(-4, 66)
(53, -46)
(54, -46)
(47, -44)
(-6, 58)
(-7, 58)
(-9, 58)
(-9, 57)
(-9, 56)
(-11, 53)
(-11, 51)
(-7, 50)
(-6, 48)
(-7, 45)
(-8, 46)
(-9, 47)
(57, -39)
(-10, 47)
(-11, 48)
(-12, 50)
(-13, 49)
(-5, 50)
(-3, 49)
(-5, 54)
(-5, 56)
(-7, 57)
(-7, 52)
(-2, 48)
(-1, 47)
(1, 46)
(2, 45)
(5, 45)
(4, 44)
(9, 45)
(7, 39)
(3, 36)
(2, 36)
(3, 38)
(1, 38)
(1, 39)
(2, 40)
(47, -50)
(47, -51)
(47, -52)
(-5, 37)
(45, -51)
(45, -53)
(44, -52)
(0, 37)
(0, 36)
(40, -50)
(4, 30)
(40, -49)
(39, -49)
(41, -48)
(6, 27)
(42, -53)
(12, 28)
(10, 27)
(12, 29)
(13, 26)
(11, 26)
(37, -57)
(8, 26)
(10, 24)
(41, -59)
(8, 34)
(9, 34)
(41, -60)
(6, 37)
(8, 36)
(10, 37)
(10, 35)
(43, -59)
(47, -62)
(6, 31)
(48, -60)
(49, -58)
(5, 35)
(49, -47)
(48, -48)
(54, -52)
(52, -49)
(2, 32)
(3, 31)
(0, 26)
(44, -51)
(2, 24)
(3, 24)
(5, 24)
(4, 25)
(-1, 22)
(-4, 22)
(-6, 21)
